search,sample_pa,dC,dP,dD,dS,C,P,D,S,batting_value,h321_baserunning_value,h321_total_value,OPS
CPDS30,20000,5,5,0,20,105,105,100,120,0.3640905,0.012847958651389615,0.3769384586513896,0.8261119060548466
CPDS30,20000,5,5,5,15,105,105,105,115,0.3698475,0.01125171854982462,0.3810992185498246,0.8387665534804754
CPDS30,20000,5,5,10,10,105,105,110,110,0.3762715,0.009841284175183929,0.3861127841751839,0.8492287101248266
CPDS30,20000,5,5,15,5,105,105,115,105,0.381138,0.008186111286330528,0.3893241112863305,0.8580013761467891
CPDS30,20000,5,5,20,0,105,105,120,100,0.381459,0.006715554765730081,0.3881745547657301,0.8567376014427412
CPDS30,20000,5,10,0,15,105,110,100,115,0.374078,0.01125171854982462,0.3853297185498246,0.8509267299864315
CPDS30,20000,5,10,5,10,105,110,105,110,0.3776274999999999,0.009841284175183929,0.3874687841751838,0.8570514236434321
CPDS30,20000,5,10,10,5,105,110,110,105,0.3817965,0.008186111286330528,0.3899826112863305,0.861405804412906
CPDS30,20000,5,10,15,0,105,110,115,100,0.3819645,0.006715554765730081,0.3886800547657301,0.8597270832170565
CPDS30,20000,5,15,0,10,105,115,100,110,0.376254,0.009841284175183929,0.3860952841751839,0.8548333188531712
CPDS30,20000,5,15,5,5,105,115,105,105,0.37714,0.008186111286330528,0.3853261112863305,0.853762667762257
CPDS30,20000,5,15,10,0,105,115,110,100,0.3842779999999999,0.006715554765730081,0.39099355476573,0.8668937067773168
CPDS30,20000,5,20,0,5,105,120,100,105,0.3824275,0.008186111286330528,0.3906136112863305,0.868196926251765
CPDS30,20000,5,20,5,0,105,120,105,100,0.3824825,0.006715554765730081,0.3891980547657301,0.8636288843857823
CPDS30,20000,5,25,0,0,105,125,100,100,0.37795,0.006715554765730081,0.3846655547657301,0.8543762544073773
CPDS30,20000,10,0,0,20,110,100,100,120,0.361917,0.012847958651389615,0.3747649586513896,0.8204273615635179
CPDS30,20000,10,0,5,15,110,100,105,115,0.3710294999999999,0.01125171854982462,0.3822812185498245,0.840835588251411
CPDS30,20000,10,0,10,10,110,100,110,110,0.3758045,0.009841284175183929,0.3856457841751839,0.8475542581503659
CPDS30,20000,10,0,15,5,110,100,115,105,0.380173,0.008186111286330528,0.3883591112863305,0.8547883455491523
CPDS30,20000,10,0,20,0,110,100,120,100,0.3776769999999999,0.006715554765730081,0.38439255476573,0.8459912454873646
CPDS30,20000,10,5,0,15,110,105,100,115,0.371477,0.01125171854982462,0.3827287185498246,0.844220065075922
CPDS30,20000,10,5,5,10,110,105,105,110,0.3761779999999999,0.009841284175183929,0.38601928417518383,0.8525136761487966
CPDS30,20000,10,5,10,5,110,105,110,105,0.3815175,0.008186111286330528,0.3897036112863305,0.860962925829502
CPDS30,20000,10,5,15,0,110,105,115,100,0.383009,0.006715554765730081,0.3897245547657301,0.8617631411508623
CPDS30,20000,10,10,0,10,110,110,100,110,0.375391,0.009841284175183929,0.3852322841751839,0.8519653946227234
CPDS30,20000,10,10,5,5,110,110,105,105,0.377044,0.008186111286330528,0.3852301112863305,0.8528085686145765
CPDS30,20000,10,10,10,0,110,110,110,100,0.382742,0.006715554765730081,0.38945755476573013,0.8630051020408163
CPDS30,20000,10,15,0,5,110,115,100,105,0.3824165,0.008186111286330528,0.3906026112863305,0.8677923671785966
CPDS30,20000,10,15,5,0,110,115,105,100,0.3796965,0.006715554765730081,0.3864120547657301,0.8568489492119089
CPDS30,20000,10,20,0,0,110,120,100,100,0.377045,0.006715554765730081,0.3837605547657301,0.8520255159678471
CPDS30,20000,15,0,0,15,115,100,100,115,0.3709085,0.01125171854982462,0.38216021854982457,0.842373386266327
